etat,nameclient,porteur,zoneclient,nature,leadrating,coord,titgrp,datedet,budget,botech
BC,149659,130410,89672,villa,5,130410,130418,2020-08-13,2806,\N
Perdus,-9,136185,89694,villa,1,136185,115744,2020-10-03,30066,142832
Perdus,-9,108905,89691,villa,1,133385,115745,2020-01-31,\N,\N
BC,147852,130410,89672,villa,5,130410,133119,2020-08-05,\N,\N
Perdus,-9,28609,89686,usine,2,28577,115745,2019-10-23,28827,\N
Perdus,-9,28609,89686,usine,2,28609,115745,2019-10-23,28827,\N
Perdus,180243,147744,89694,villa,1,147744,130418,2020-12-01,450,\N
Perdus,-9,142567,89694,villa,1,28575,115743,2020-09-03,5741,\N
Perdus,-9,142567,89694,villa,1,28569,115743,2020-09-03,5741,\N
Perdus,136722,130410,89694,villa,5,130410,133119,2019-03-02,\N,\N
Perdus,137412,28575,89687,villa,1,28575,134667,2020-06-04,19335,\N
BC,-9,130590,101185,villa,1,130590,130419,2020-08-28,\N,\N
BC,147192,130410,89672,villa,5,130410,130418,2020-07-28,769,\N
Perdus,151970,130590,89694,villa,1,130590,130419,2020-08-22,\N,\N
Perdus,133078,130392,89672,villa,1,28575,134667,2020-01-01,44594,\N
Perdus,133078,130392,89672,villa,1,136898,134667,2020-01-01,44594,\N
BC,153123,130590,89694,villa,1,130590,130419,2020-08-28,\N,\N
BC,142482,28575,89679,villa,1,28575,134667,2020-05-27,2712,\N
BC,142482,28575,89679,villa,1,136898,134667,2020-05-27,2712,\N
Perdus,-9,28576,89688,siege administratif,1,122018,115744,2020-09-09,326295,\N
Perdus,93575,28576,89688,villa,1,122018,115744,2020-03-03,194215,\N
Perdus,93575,28576,89688,villa,1,108904,115744,2020-03-03,194215,\N
Perdus,93575,28576,89688,villa,1,28619,115744,2020-03-03,194215,\N
Perdus,122561,28614,89687,habitation,1,122018,115744,2019-03-01,560558,\N
Perdus,141034,28571,89687,bureautique,1,122027,115744,2020-05-28,410512,\N
Perdus,-9,28565,89694,siege administratif,1,28565,134667,2020-02-26,16375,28569
Perdus,-9,122018,101185,ministaire,1,122018,115744,2020-09-10,21000,108904
BC,146970,130410,89687,villa,5,130410,130418,2020-07-13,\N,\N
BC,93804,93108,89694,habitation,4,142540,115742,2020-01-20,22271,93108
BC,176026,130590,89694,villa,1,-9,130419,2020-11-11,497,\N
Perdus,90720,28609,89694,infrastructure,1,28577,115746,2019-11-21,\N,\N
Perdus,139462,28576,89688,villa,1,28576,115743,2020-06-22,5212,162366
Perdus,137733,130410,89691,villa,5,130410,130418,2020-03-13,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-02-29,\N,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-08-18,\N,\N
Perdus,-9,28576,89685,hopital,2,122018,115744,2020-04-28,154242,\N
Perdus,-9,28576,89685,hopital,2,108904,115744,2020-04-28,154242,\N
Perdus,-9,28577,89694,lycee,1,28609,115746,2020-01-03,23387,\N
BC,149589,130410,89694,villa,5,130410,130418,2020-08-12,\N,\N
Perdus,91403,28614,89672,habitation,1,122055,115741,2020-05-04,28319,28614
Perdus,127120,108905,89694,villa,1,28575,134667,2020-01-10,31722,\N
Perdus,127120,108905,89694,villa,1,136898,134667,2020-01-10,31722,\N
Perdus,-9,122018,89674,villa,1,142567,134666,2020-03-11,2817,28569
BC,122328,28614,89694,bureautique,1,108905,115745,2019-06-21,11619,\N
BC,122328,28614,89694,bureautique,1,133385,115745,2019-06-21,11619,\N
BC,149439,130590,89688,villa,1,130590,130419,2020-08-10,\N,\N
Perdus,-9,142540,89694,villa,1,142540,134667,2020-12-11,9305,28569
